stt,name,price,other
29,The Legend of Zelda™: Echoes of Wisdom,Chưa có,"Nintendo Switch: 5.6 GB , Nintendo Switch 2: 5.7 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Adventure , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English , September 26, 2024"
30,Chưa có,Chưa có,Chưa có
31,Nintendo World Championships: NES™ Edition,$29.99,"Nintendo Switch: 435 MB , Nintendo Switch 2: 435 MB , TV mode , Tabletop mode , Handheld mode , Single System (1-8) , Online (1-) , Supported , Action , Party , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English , July 18, 2024"
32,Luigi's Mansion™ 2 HD,$59.99,"Nintendo Switch: 3 GB , Nintendo Switch 2: 3 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Adventure , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , June 27, 2024"
33,Chưa có,Chưa có,Chưa có
34,Paper Mario™: The Thousand-Year Door,Chưa có,"Nintendo Switch: 5.1 GB , Nintendo Switch 2: 5.1 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Role playing , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , May 23, 2024"
35,Endless Ocean™ Luminous,Chưa có,"Nintendo Switch: 5 GB , Nintendo Switch 2: 5 GB , TV mode , Tabletop mode , Handheld mode , Supported , Adventure , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , May 2, 2024"
36,Princess Peach™: Showtime!,Chưa có,"Nintendo Switch: 4.7 GB , Nintendo Switch 2: 4.7 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Adventure , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English , March 22, 2024"
37,Fire Emblem™ Engage,Chưa có,"Nintendo Switch: 16.6 GB , Nintendo Switch 2: 16.6 GB , TV mode , Tabletop mode , Handheld mode , Supported , Role playing , Strategy , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Intelligent Systems , Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Traditional Chinese, American English , January 20, 2023"
38,Pokémon™ Scarlet and Pokémon™ Violet Double Pack,Chưa có,"Role playing , Nintendo Switch , Nintendo , November 18, 2022"
