stt,name,price,size,support,of_players,genre,system,publisher,developer,languages,release_date
29,Chưa có,$59.99,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có
30,Paper Mario™: The Thousand-Year Door,$59.99,"Nintendo Switch: 5.1 GB , Nintendo Switch 2: 5.1 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Role playing",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","May 23, 2024"
31,Endless Ocean™ Luminous,$49.99,"Nintendo Switch: 5 GB , Nintendo Switch 2: 5 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Adventure,Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","May 2, 2024"
32,Mario vs. Donkey Kong™,$59.99,"Nintendo Switch: 1.3 GB , Nintendo Switch 2: 1.3 GB","TV mode , Tabletop mode , Handheld mode",Single System (1-2),"Action , Puzzle",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","February 16, 2024"
33,Another Code™: Recollection,$59.99,"Nintendo Switch: 5.2 GB , Nintendo Switch 2: 5.2 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Adventure,Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","January 19, 2024"
34,Super Mario RPG™,$59.99,"Nintendo Switch: 6.5 GB , Nintendo Switch 2: 6.5 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Role playing",Nintendo Switch,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","November 17, 2023"
35,WarioWare™: Move It!,$49.99,"Nintendo Switch: 1.3 GB , Nintendo Switch 2: 1.3 GB","TV mode , Tabletop mode",Single System (1-4),"Action , Party",Nintendo Switch,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","November 3, 2023"
36,Super Mario Bros.™ Wonder,$59.99,"Nintendo Switch: 3.6 GB , Nintendo Switch 2: 3.6 GB","TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (1-4)",Action,Nintendo Switch,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","October 20, 2023"
37,Detective Pikachu™ Returns,$49.99,"Nintendo Switch: 9 GB , Nintendo Switch 2: 9 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Adventure,Nintendo Switch,Nintendo,Nintendo,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English","October 6, 2023"
38,F-ZERO™ 99,$0.00,"Nintendo Switch: 1.8 GB , Nintendo Switch 2: 1.8 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Racing,Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","September 14, 2023"
39,Pikmin™ 4,$59.99,"Nintendo Switch: 10.5 GB , Nintendo Switch 2: 10.5 GB","TV mode , Tabletop mode , Handheld mode",Single System (1-2),"Action , Adventure , Strategy",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","July 21, 2023"
40,Everybody 1-2-Switch!™,$29.99,"Nintendo Switch: 3.4 GB , Nintendo Switch 2: 3.4 GB","TV mode , Tabletop mode",Single System (2-8),"Action , Party",Nintendo Switch,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","June 30, 2023"
41,Pikmin™ 1+2 Bundle,$49.99,Chưa có,Chưa có,Chưa có,"Action , Adventure , Strategy",Nintendo Switch,Nintendo,Chưa có,Chưa có,"June 21, 2023"
42,Pikmin™ 2,$29.99,"Nintendo Switch: 1.1 GB , Nintendo Switch 2: 1.1 GB","TV mode , Tabletop mode , Handheld mode",Single System (1-2),"Action , Adventure , Strategy",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","June 21, 2023"
43,Pikmin™ 1,$29.99,"Nintendo Switch: 1.2 GB , Nintendo Switch 2: 1.2 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Adventure , Strategy",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","June 21, 2023"
