id;name;price_usd;size;support;of_players;genre;system;publisher;developer;languages;release_date;release_year;release_month;source;file_name;load_ts;load_expired;load_staging;is_deleted;date_sk
122;Super Mario™ 3D World + Bowser’s Fury;59.99;Nintendo Switch: 3 GB , Nintendo Switch 2: 3 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-4) , Online (2-4);Action , Adventure;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2021-02-12;2021;2;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5887
123;Fitness Boxing 2: Rhythm & Exercise;49.99;Nintendo Switch: 3.8 GB , Nintendo Switch 2: 3.8 GB;TV mode , Tabletop mode;Single System (1-2);Sports , Training;Nintendo Switch;Nintendo;;Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English;2020-12-04;2020;12;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5817
124;Hyrule Warriors: Age of Calamity;59.99;Nintendo Switch: 11.1 GB , Nintendo Switch 2: 11.1 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-2);Action;Nintendo Switch;Nintendo;;Japanese, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2020-11-20;2020;11;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5803
125;Animal Crossing: New Horizons Island Transfer Tool;0.00;Nintendo Switch: 46 MB , Nintendo Switch 2: 46 MB;TV mode , Tabletop mode , Handheld mode;;Application;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2020-11-18;2020;11;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5801
126;Pikmin™ 3 Deluxe;59.99;Nintendo Switch: 6.5 GB , Nintendo Switch 2: 6.5 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-2);Action , Adventure , Strategy;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2020-10-30;2020;10;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5782
127;Part Time UFO™;8.99;Nintendo Switch: 194 MB , Nintendo Switch 2: 194 MB;TV mode , Tabletop mode , Handheld mode;Single System (1-2);Action;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2020-10-28;2020;10;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5780
128;Mario Kart Live: Home Circuit™;0.00;Nintendo Switch: 2 GB , Nintendo Switch 2: 2 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-4);Racing;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2020-10-16;2020;10;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5768
129;Kirby Fighters™ 2;19.99;Nintendo Switch: 1.1 GB , Nintendo Switch 2: 1.1 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-4) , Online (2-4);Fighting;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2020-09-23;2020;9;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5745
130;Paper Mario™: The Origami King;59.99;Nintendo Switch: 6.5 GB , Nintendo Switch 2: 6.5 GB;TV mode , Tabletop mode , Handheld mode;;Action , Adventure;Nintendo Switch;Nintendo;;Japanese, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2020-07-17;2020;7;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5677
131;Pokémon Café ReMix;0.00;Nintendo Switch: 574 MB , Nintendo Switch 2: 574 MB;Handheld mode;;Puzzle;Nintendo Switch;Nintendo;;Japanese, German, Italian, Korean, Latin American Spanish, Canadian French, Traditional Chinese, American English;2020-06-23;2020;6;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5653
132;Jump Rope Challenge;0.00;Nintendo Switch: 162 MB , Nintendo Switch 2: 162 MB;TV mode , Tabletop mode;Single System (1-2);Application , Training;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2020-06-15;2020;6;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5645
133;Clubhouse Games™: 51 Worldwide Classics;39.99;Nintendo Switch: 2.5 GB , Nintendo Switch 2: 2.5 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-4) , Online (2-4);Party , Puzzle , Racing , Tabletop;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2020-06-05;2020;6;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5635
134;Good Job!™;19.99;Nintendo Switch: 419 MB , Nintendo Switch 2: 419 MB;TV mode , Tabletop mode , Handheld mode;Single System (1-2);Action , Puzzle;Nintendo Switch;Nintendo;Nintendo;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Latin American Spanish, Canadian French, American English;2020-03-26;2020;3;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5564
135;Animal Crossing™: New Horizons;59.99;Nintendo Switch: 10.2 GB , Nintendo Switch 2: 10.2 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-4) , Online (1-8);Simulation;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2020-03-20;2020;3;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5558
136;Pokémon Mystery Dungeon™: Rescue Team DX;59.99;Nintendo Switch: 2.2 GB , Nintendo Switch 2: 2.2 GB;TV mode , Tabletop mode , Handheld mode;;Role playing;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Latin American Spanish, Canadian French, American English;2020-03-06;2020;3;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5544
137;Pokémon™ HOME;0.00;Nintendo Switch: 1.4 GB , Nintendo Switch 2: 1.4 GB;TV mode , Tabletop mode , Handheld mode;;Application;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English;2020-02-11;2020;2;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5520
138;Tokyo Mirage Sessions™ #FE Encore;59.99;Nintendo Switch: 11.3 GB , Nintendo Switch 2: 11.3 GB;TV mode , Tabletop mode , Handheld mode;;Role playing;Nintendo Switch;Nintendo;;Japanese, French, Simplified Chinese, Traditional Chinese, American English;2020-01-17;2020;1;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5495
139;Pokémon Sword and Pokémon Shield Double Pack Digital Version;119.99;Nintendo Switch: 12.4 GB , Nintendo Switch 2: 12.4 GB;TV mode , Tabletop mode , Handheld mode;;Role playing , Simulation;Nintendo Switch;Nintendo;;Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English;2019-11-15;2019;11;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5432
140;Pokémon™ Sword;59.99;Nintendo Switch: 12.4 GB , Nintendo Switch 2: 12.4 GB;TV mode , Tabletop mode , Handheld mode;;Role playing , Simulation;Nintendo Switch;Nintendo;;Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English;2019-11-15;2019;11;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5432
141;Pokémon™ Shield;59.99;Nintendo Switch: 12.4 GB , Nintendo Switch 2: 12.4 GB;TV mode , Tabletop mode , Handheld mode;;Role playing , Simulation;Nintendo Switch;Nintendo;;Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English;2019-11-15;2019;11;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5432
142;The Stretchers™;19.99;Nintendo Switch: 1.9 GB , Nintendo Switch 2: 1.9 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-2);Action , Puzzle;Nintendo Switch;Nintendo;Nintendo;Japanese, French, German, Italian, Spanish, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2019-11-08;2019;11;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5425
143;Luigi’s Mansion™ 3;59.99;Nintendo Switch: 7.4 GB , Nintendo Switch 2: 7.4 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-8) , Online (1-8);Action , Adventure;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2019-10-31;2019;10;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5417
144;Ring Fit Adventure;79.99;;;;;;Nintendo;Nintendo;American English;2019-10-18;2019;10;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5404
145;The Legend of Zelda™: Link’s Awakening;59.99;Nintendo Switch: 5.9 GB , Nintendo Switch 2: 6.1 GB;TV mode , Tabletop mode , Handheld mode;;Action , Adventure;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2019-09-20;2019;9;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5376
146;DAEMON X MACHINA™;59.99;Nintendo Switch: 6.9 GB , Nintendo Switch 2: 6.9 GB;TV mode , Tabletop mode , Handheld mode;;Action , Shooting;Nintendo Switch;Nintendo;;French, German, Italian, Spanish, Korean, American English;2019-09-13;2019;9;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5369
147;Super Nintendo Entertainment System™ – Nintendo Classics;0.00;Nintendo Switch: 288 MB , Nintendo Switch 2: 311 MB;TV mode , Tabletop mode , Handheld mode;Single System (1-2) , Online (2-);;Nintendo Switch;Nintendo;;British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Latin American Spanish, Canadian French, Brazilian Portuguese, American English;2019-09-05;2019;9;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5361
148;Super Kirby Clash™;0.00;Nintendo Switch: 1.1 GB , Nintendo Switch 2: 1.1 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-4) , Online (1-4);Action;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2019-09-04;2019;9;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;5360
149;Sushi Striker™: The Way of Sushido;49.99;Nintendo Switch: 2.8 GB , Nintendo Switch 2: 2.8 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-2) , Online (2-);Action , Puzzle;Nintendo Switch;Nintendo;;British English, French, German, Italian, Spanish, Latin American Spanish, Canadian French, American English;2018-06-08;2018;6;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;4907
150;Pokémon™ Quest;0.00;Nintendo Switch: 271 MB , Nintendo Switch 2: 271 MB;TV mode , Tabletop mode , Handheld mode;;Action , Role playing , Strategy;Nintendo Switch;Nintendo;;Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2018-05-29;2018;5;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;4897
151;Hyrule Warriors: Definitive Edition;59.99;Nintendo Switch: 12.9 GB , Nintendo Switch 2: 12.9 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-2);Action;Nintendo Switch;Nintendo;Nintendo;Latin American Spanish, Canadian French, American English;2018-05-18;2018;5;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;4886
152;Donkey Kong Country™: Tropical Freeze;59.99;Nintendo Switch: 6.7 GB , Nintendo Switch 2: 6.7 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-2);Action;Nintendo Switch;Nintendo;Nintendo;Japanese, British English, French, German, Italian, Spanish, Latin American Spanish, Canadian French, American English;2018-05-04;2018;5;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;4872
153;Kirby™ Star Allies;59.99;Nintendo Switch: 4 GB , Nintendo Switch 2: 4 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-4);Action;Nintendo Switch;Nintendo;Nintendo;Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2018-03-16;2018;3;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;4823
154;Dragon Quest Builders™;49.99;Nintendo Switch: 815 MB , Nintendo Switch 2: 815 MB;TV mode , Tabletop mode , Handheld mode;;Action , Role playing;Nintendo Switch;Nintendo;Nintendo;Latin American Spanish, Canadian French, American English;2018-02-09;2018;2;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;4788
155;Xenoblade Chronicles™ 2;59.99;Nintendo Switch: 13.2 GB , Nintendo Switch 2: 13.2 GB;TV mode , Tabletop mode , Handheld mode;;Action , Role playing;Nintendo Switch;Nintendo;;British English, French, German, Italian, Spanish, Korean, Latin American Spanish, Canadian French, American English;2017-12-01;2017;12;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;4718
156;Super Mario Odyssey™;59.99;Nintendo Switch: 5.6 GB , Nintendo Switch 2: 5.7 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-2);Action , Adventure;Nintendo Switch;Nintendo;Nintendo;Japanese, British English, French, German, Italian, Spanish, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English;2017-10-27;2017;10;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;4683
157;Fire Emblem Warriors;59.99;Nintendo Switch: 13.4 GB , Nintendo Switch 2: 13.4 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-2);Action , Strategy;Nintendo Switch;Nintendo;;British English, French, German, Italian, Spanish, Latin American Spanish, Canadian French, American English;2017-10-20;2017;10;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;4676
158;Pokkén Tournament™ DX;59.99;Nintendo Switch: 4 GB , Nintendo Switch 2: 4 GB;TV mode , Tabletop mode , Handheld mode;Single System (1-2) , Online (2-);Fighting;Nintendo Switch;Nintendo;;Japanese, British English, French, German, Italian, Spanish, Latin American Spanish, Canadian French, American English;2017-09-22;2017;9;nintendo;nintendo_details_2025-11-23.csv;2025-11-23 13:58:43;9999-12-31 23:59:59;2025-11-23 13:58:43;0;4648
